player_id,shortName,role_clean,xgb_forecast_next5,avg_actual_score,forecast_delta
250956,F. Ricci,Forward,15.830804,20.55000534773045,-4.719201476575666
246061,F. Bernardeschi,Midfielder,15.18623,19.469800888829383,-4.283571183018836
25403,J. Ferri,Midfielder,15.36601,19.519502352940773,-4.1534926407215345
8325,S. Ag\u00fcero,Forward,18.689419,22.15048100314451,-3.4610622104199003
14757,Z. Kuzmanovi\u0107,Midfielder,15.018723,18.373330875503164,-3.354608341323477
364644,A. Diouss\u00e9,Midfielder,15.35547,18.6282681027741,-3.272798399099784
215983,S. Boufal,Midfielder,17.173378,19.77226893265825,-2.5988909419355934
7907,D. Sturridge,Forward,18.613878,21.188862038611045,-2.574983788488975
237034,Gon\u00e7alo Guedes,Forward,18.689419,21.141786873587915,-2.4523680808633053
173,R. van La Parra,Midfielder,17.575897,19.935259747794202,-2.359362530997327
20420,Z. Ibrahimovi\u0107,Forward,19.49773,21.809352683528765,-2.3116224284018116
377071,Richarlison,Forward,18.623993,20.911421966906584,-2.287429046984709
247248,S. March,Midfielder,17.111414,19.3987627342769,-2.2873487785884237
234359,P. Schick,Forward,18.377254,20.64283496121385,-2.265580475129866
122,D. Mertens,Forward,19.604591,21.864895654175115,-2.2603042845462085
