role,feature,coef,model
Defender,xG_per90,0.0,LassoCV
Defender,goals_per90,-0.0,LassoCV
Defender,xA_per90,0.0,LassoCV
Defender,shots_on_target_per90,0.0,LassoCV
Defender,progressive_passes_per90,0.16982527877639395,LassoCV
Defender,dribbles_completed_per90,0.3055059581345776,LassoCV
Defender,successful_passes_per90,0.026244228934642577,LassoCV
Defender,crosses_per90,0.2761689989809113,LassoCV
Defender,tackles_per90,0.0,LassoCV
Defender,interceptions_per90,0.0,LassoCV
Defender,clearances_per90,-0.11644029655771004,LassoCV
Defender,duel_balance,0.23847614592685573,LassoCV
Midfielder,xG_per90,0.0,LassoCV
Midfielder,goals_per90,0.03668808931029959,LassoCV
Midfielder,xA_per90,0.0750583765795985,LassoCV
Midfielder,shots_on_target_per90,0.34362489069731716,LassoCV
Midfielder,progressive_passes_per90,-0.020091516861697526,LassoCV
Midfielder,dribbles_completed_per90,0.3108389950156014,LassoCV
Midfielder,successful_passes_per90,0.2512680107485993,LassoCV
Midfielder,crosses_per90,0.3250612020323974,LassoCV
Midfielder,tackles_per90,-0.5125021761761572,LassoCV
Midfielder,interceptions_per90,-0.0,LassoCV
Midfielder,clearances_per90,-0.2132792487624673,LassoCV
Midfielder,duel_balance,0.7605602573475964,LassoCV
Forward,xG_per90,-0.0,LassoCV
Forward,goals_per90,0.38624978890804396,LassoCV
Forward,xA_per90,0.33876898769819924,LassoCV
Forward,shots_on_target_per90,0.4530187338494429,LassoCV
Forward,progressive_passes_per90,-0.0445089027364204,LassoCV
Forward,dribbles_completed_per90,-0.11096207191738178,LassoCV
Forward,successful_passes_per90,0.8639739599292766,LassoCV
Forward,crosses_per90,-0.0,LassoCV
Forward,tackles_per90,-0.7589971371176748,LassoCV
Forward,interceptions_per90,-0.0537053874424157,LassoCV
Forward,clearances_per90,-0.10136954817945072,LassoCV
Forward,duel_balance,1.3852586347707938,LassoCV
