player_id,shortName,role_clean,avg_actual_score
26136,B. Mendy,Defender,15.651835127352301
91702,J. Mojica,Defender,15.630971327046154
26499,A. Masuaku,Defender,15.585296332320208
6210,Aday,Defender,15.55890274583376
224593,J. Kimmich,Defender,15.531670279149589
278289,Odriozola,Defender,15.46245213616048
8306,A. Kolarov,Defender,15.460985146658013
3310,Marcelo,Defender,15.434296981413938
3281,Juan Bernat,Defender,15.42772658434095
24838,G. Letizia,Defender,15.404586125274324
144867,K. Malcuit,Defender,15.337975967218282
25785,S. Aurier,Defender,15.333349103556891
22889,D. Zappacosta,Defender,15.331668069862838
14775,B. Oczipka,Defender,15.330129159791866
135903,Jo\u00e3o Cancelo,Defender,15.304455143041492
21385,L. Insigne,Forward,24.630933667253384
3359,L. Messi,Forward,24.211199145978046
40810,Neymar,Forward,24.090390965905453
3802,Philippe Coutinho,Forward,23.64823611138318
25707,E. Hazard,Forward,23.251687700181545
3425,Muniain,Forward,22.978709741006806
25770,F. Thauvin,Forward,22.970186635178706
89186,P. Dybala,Forward,22.930268444018456
20820,J. Ili\u010di\u0107,Forward,22.89800586604774
70975,Bruma,Forward,22.782653454898973
3361,A. S\u00e1nchez,Forward,22.49183837353173
15051,L. Stindl,Forward,22.4549254751875
353833,K. Mbapp\u00e9,Forward,22.38567885835451
424624,O. Etebo,Forward,22.37060734950463
118,M. Depay,Forward,22.287270976833323
40806,Felipe Anderson,Midfielder,21.076996656053687
3563,Isco,Midfielder,21.00907202877596
20556,A. Candreva,Midfielder,20.748532896713744
3314,\u00c1. di Mar\u00eda,Midfielder,20.7030400392062
14727,A. Robben,Midfielder,20.69578978946885
279555,Iv\u00e1n Alejo,Midfielder,20.51939345034413
447223,J. Sancho,Midfielder,20.517854973777204
26512,M. Dossevi,Midfielder,20.505990259274324
20751,J. Cuadrado,Midfielder,20.473042209630414
105334,Douglas Costa,Midfielder,20.432272590717155
25999,R. Cabella,Midfielder,20.427212083705907
288091,Marco Asensio,Midfielder,20.40889353347018
356237,G. Lo Celso,Midfielder,20.395911831041943
38021,K. De Bruyne,Midfielder,20.3794419617649
25714,D. Payet,Midfielder,20.371593925550947
